Time_h,T,P,RH,SZA,M,BLheight,NO,NO2,O3,OH,CO,H2O2,PAN,C2H5NO3,IC3H7NO3,C5H8,APINENE,BPINENE,LIMONENE,C2H4,C2H6,C3H8,IC4H10,IC5H12,NC5H12,NC6H14,NC10H22,BENZENE,TOLUENE,EBENZ,TM124B,TM135B,MXYL,OXYL,PXYL,BENZAL,CH3CHO,C2H5CHO,C3H7CHO,HOCH2CHO,GLYOX,CH3OH,C2H5OH,ACETOL,BIACET,MACR,MVK,HCHO,CH3COCH3,C2H2,C3H6,NC4H10,DMS,HNO3,HO2,IEPOX,ISOPOOH,MEK,MPAN,H2,CH4
10,298.8410416666666,752.38831125,79.60625,39.13807082130651,2.4324467730322657e+19,636.015236384281,0.142625,0.5688208333333333,26.322916666666668,4.426951859676988e-05,138.1875,0.24640776387478067,0.1618312857142857,0.0068875,0.013149999999999998,3.7520625,0.2216625,0.1766625,0.053899999999999997,0.3418,1.735075,0.786125,0.08439999999999999,0.11560000000000001,0.08478750000000002,0.0364375,0.01415,0.0662,0.06025,0.0108375,0.009012500000000003,0.005624999999999999,0.013049999999999999,0.010512500000000001,0.013049999999999999,0.063475,1.2193375,0.1020625,0.03325,0.09541510429335158,0.020046247961844545,7.013062499999999,1.5004875000000002,0.12657664069220317,0.016675000000000002,0.4430875,0.6014499999999999,2.9306270184230176,1.9160125000000003,0.21478750000000002,0.0515625,0.15510000000000002,0.0068375,0.19670833333333335,0.02054725,0.015371569734613214,0.06262450986312397,0.212575,0.018846500000000002,550.0,1770.0
11,299.76375,752.4789434999999,74.1625,26.176717637165453,2.425251522884174e+19,842.0897864717905,0.07805000000000001,0.3954142857142857,30.34,4.8508233373315536e-05,135.45,0.3163553357843137,0.17798175,0.0069625,0.012987500000000003,4.3572625,0.19318749999999998,0.16429999999999997,0.061450000000000005,0.319225,1.5864375000000002,0.688975,0.0736,0.10597499999999999,0.078425,0.030225000000000002,0.0116625,0.06532500000000001,0.05935,0.009624999999999998,0.0071875,0.004725,0.011775,0.009012500000000001,0.011775,0.05636250000000001,1.1295625,0.101375,0.0344625,0.11491078231292517,0.02330792325841534,7.4590250000000005,1.6893125,0.1572970740263218,0.0172,0.4233875,0.5043875,3.1976229852237172,1.9253875,0.20096250000000002,0.0401375,0.137525,0.0061625,0.215425,0.04614252857142857,0.026422337518624734,0.09584035608818967,0.22063750000000001,0.029777,550.0,1770.0
12,300.68031249999996,752.2706679107142,69.36642857142857,14.788592267833428,2.4171894098566984e+19,987.4145169827309,0.05057142857142858,0.2864690476190477,34.53877551020408,6.330106558993676e-05,132.0654761904762,0.3931442954681872,0.19656787500000003,0.006899999999999999,0.013385714285714284,4.287642857142857,0.15395714285714285,0.1299142857142857,0.04617142857142857,0.32839999999999997,1.5446428571428572,0.6087714285714286,0.053228571428571424,0.07667142857142857,0.05832857142857143,0.02252857142857143,0.006985714285714285,0.057985714285714286,0.04109999999999999,0.007242857142857143,0.0037142857142857147,0.003057142857142857,0.00727142857142857,0.006014285714285714,0.00727142857142857,0.05715714285714285,1.2839428571428573,0.09938571428571429,0.03362857142857143,0.13944260157867494,0.03818676587832524,7.524157142857142,1.6542999999999999,0.21410961381793459,0.018142857142857145,0.4387142857142858,0.6759142857142857,3.357446726535499,2.0436714285714284,0.19705714285714285,0.03975714285714286,0.10081428571428572,0.0048142857142857145,0.25307142857142856,0.052184316666666675,0.04201111650276052,0.12689672619047618,0.2322,0.028152,550.0,1770.0
13,301.2989583333333,751.9976549999999,65.45208333333333,9.776571678279812,2.4113508441956196e+19,1053.075042888156,0.041541666666666664,0.24294947916666665,35.9361111111111,6.815650735700015e-05,131.75,0.5070560180546578,0.18992342857142858,0.006875,0.013137500000000003,5.280612499999999,0.15476249999999997,0.1501125,0.0607375,0.25113749999999996,1.5016874999999998,0.587175,0.0567125,0.0773125,0.054675,0.021275,0.010237499999999998,0.045525,0.04082499999999999,0.006625000000000001,0.005125,0.004762500000000001,0.006575,0.005600000000000001,0.006575,0.0532875,1.3840375,0.0955125,0.032725000000000004,0.14957241375448027,0.03952104882829707,8.532525,1.6644375,0.25584424059806976,0.01905,0.43748750000000003,0.6404500000000001,3.279394688140912,2.0244875,0.16690000000000002,0.0316625,0.10337500000000001,0.0056875,0.27016666666666667,0.048980416666666665,0.04096458333333333,0.15229571572580647,0.24889999999999998,0.016237500000000002,550.0,1770.0
14,302.04799999999994,751.5188666999999,61.152499999999996,17.874179127146913,2.403839520285522e+19,1128.7525220402085,0.04015,0.20486428571428572,37.614285714285714,6.192715300575407e-05,130.2125,0.682678216503268,0.17216028571428568,0.006850000000000001,0.012137499999999999,5.56905,0.14725,0.140725,0.0535625,0.2534375,1.449625,0.557675,0.050625,0.06615,0.05021250000000001,0.01915,0.0097,0.0411375,0.034487500000000004,0.005549999999999999,0.004875000000000001,0.0038875000000000003,0.004987500000000001,0.004575,0.004987500000000001,0.0528375,1.468275,0.092075,0.029699999999999997,0.17902413194444444,0.04329963662708445,9.584357142857142,1.7361,0.3357118162820916,0.021437499999999998,0.42498749999999996,0.6637250000000001,3.2712218860121673,2.051025,0.1579125,0.034275,0.092925,0.0048125,0.30824999999999997,0.06478,0.08390601531620553,0.1900311782910628,0.24395,0.019229,550.0,1770.0
15,302.64089285714283,751.0578476785713,58.71428571428572,29.798953784451058,2.397658499263201e+19,1213.211769528888,0.03728571428571429,0.22308750000000002,39.93154761904762,6.135029196102854e-05,131.41071428571428,0.6393449211601309,0.21805312500000001,0.007214285714285714,0.013271428571428571,5.688714285714285,0.1323,0.12731428571428574,0.05405714285714286,0.22224285714285716,1.3900714285714284,0.48679999999999995,0.0438,0.06788571428571429,0.048042857142857144,0.01767142857142857,0.0071714285714285725,0.04245714285714286,0.03152857142857143,0.005814285714285715,0.0023285714285714285,0.0025714285714285713,0.004114285714285714,0.004457142857142858,0.004114285714285714,0.05159999999999999,1.3467142857142858,0.08865714285714286,0.030799999999999998,0.22255207365003415,0.04759383460218656,9.754057142857144,1.7418142857142858,0.32718526709263435,0.02247142857142857,0.4392571428571429,0.8115428571428571,3.4695361267564877,2.193157142857143,0.1761714285714286,0.03388571428571428,0.0838,0.004328571428571429,0.3688214285714285,0.05534688392857143,0.07198128853383459,0.19354346522556393,0.2615857142857143,0.022821,550.0,1770.0
16,302.60895833333325,750.6584853749998,59.10208333333334,41.79140537764244,2.3966364768685015e+19,1333.355709846943,0.03764583333333334,0.23278749999999998,40.05833333333333,5.164899753261707e-05,133.10416666666666,0.5494679584495741,0.206668,0.007300000000000001,0.011871428571428571,5.764871428571429,0.1503857142857143,0.14487142857142857,0.0596,0.26065714285714287,1.3041285714285713,0.48464285714285715,0.046599999999999996,0.0692,0.04777142857142857,0.020214285714285716,0.0071285714285714286,0.04409999999999999,0.030785714285714284,0.005571428571428573,0.0029142857142857143,0.003128571428571429,0.0039357142857142854,0.0042,0.0039357142857142854,0.05154285714285715,1.3814,0.08417142857142856,0.027485714285714287,0.21348724064625849,0.04922944691061143,9.732814285714284,1.9364571428571427,0.323713624376471,0.021528571428571425,0.47154285714285715,1.0186142857142857,3.4335580363432876,2.0925857142857143,0.1673714285714286,0.036628571428571434,0.0873142857142857,0.005171428571428571,0.3727291666666666,0.03356586692897497,0.08741240073203195,0.21246480163211526,0.2434428571428572,0.0170685,550.0,1770.0
17,302.7605,750.32814645,57.64,54.8667584487096,2.3943827316610114e+19,1415.8291457286423,0.042825,0.29871749999999997,40.64166666666667,4.1499032124855886e-05,133.72500000000002,0.58873497965853,0.30488925,0.006914285714285714,0.011871428571428573,5.464157142857142,0.15575714285714284,0.14978571428571427,0.05388571428571428,0.24025714285714286,1.2664142857142857,0.5249142857142858,0.044414285714285726,0.06752857142857142,0.04778571428571428,0.018814285714285717,0.009371428571428572,0.03742857142857143,0.031214285714285712,0.005957142857142857,0.003914285714285715,0.0033714285714285717,0.0046357142857142855,0.004742857142857143,0.0046357142857142855,0.05741428571428571,1.4100714285714289,0.0878857142857143,0.028714285714285713,0.20384201856049222,0.05295347050415813,9.83617142857143,2.026257142857143,0.3732630756542697,0.021314285714285713,0.4549714285714286,0.8162714285714285,3.642636817219043,2.060514285714286,0.15219999999999997,0.042242857142857144,0.08302857142857142,0.005714285714285714,0.41302500000000003,0.03216143253968254,0.08803992439540473,0.19558125960767372,0.24757142857142858,0.0248105,550.0,1770.0
18,302.4053571428571,750.1765271785714,59.50178571428572,67.21891730566948,2.3967102763431363e+19,1472.3618090452253,0.02848214285714286,0.34085,41.50178571428572,2.2624268354020583e-05,135.25,0.5405624788359787,0.38882800000000006,0.0065,0.012500000000000002,5.3086166666666665,0.15853333333333333,0.16198333333333334,0.0652,0.1960833333333333,1.20375,0.41596666666666665,0.045649999999999996,0.07129999999999999,0.04746666666666666,0.0176,0.008016666666666667,0.03930000000000001,0.0286,0.005716666666666666,0.0025833333333333333,0.0026999999999999997,0.0041916666666666665,0.00435,0.0041916666666666665,0.05121666666666667,1.2695500000000002,0.08406666666666666,0.028366666666666665,0.2437203514657507,0.050161851468492516,10.084666666666667,1.8896333333333333,0.4267155774354298,0.021150000000000002,0.54615,0.8688666666666668,3.93024448306418,1.9946666666666666,0.1646,0.03571666666666667,0.08205,0.0053,0.4125178571428572,0.02651240095785441,0.07544907529822274,0.19136496999468444,0.26131666666666664,0.03396233333333334,550.0,1770.0
19,301.73479166666664,750.20063625,62.2375,78.68960939705359,2.402113842755282e+19,1399.9947130441783,0.013895833333333333,0.35495,38.29166666666667,1.297860310537485e-05,138.45833333333334,0.49186833184143225,0.21525599999999998,0.007228571428571427,0.012185714285714286,5.859614285714286,0.21612857142857142,0.21567142857142854,0.06381428571428571,0.23012857142857143,1.2740428571428573,0.4961714285714286,0.043185714285714286,0.08052857142857142,0.05677142857142858,0.027357142857142858,0.008185714285714286,0.04884285714285714,0.0583,0.010371428571428571,0.008385714285714286,0.006157142857142858,0.011028571428571428,0.00952857142857143,0.011028571428571428,0.05962857142857143,1.3180285714285715,0.08367142857142858,0.028542857142857144,0.20760732950663177,0.04518015551684056,10.791771428571428,2.205514285714286,0.3996235955331964,0.023214285714285715,0.6341428571428571,1.1622571428571429,3.817836283566897,2.121571428571429,0.17677142857142858,0.04694285714285714,0.08442857142857142,0.005885714285714286,0.3472916666666666,0.018951966666666667,0.07582992005583596,0.2158036754047497,0.2850142857142857,0.01707675,550.0,1770.0
20,300.7535,750.3792442874999,66.60999999999999,89.56145163721511,2.4105251671634854e+19,1279.4912060301504,0.0023750000000000004,0.485475,36.0675,1.0222377520852783e-05,141.9375,0.37865087040441175,0.19453214285714288,0.006728571428571428,0.011842857142857143,5.804057142857142,0.24674285714285715,0.2611857142857143,0.04947142857142857,0.31475714285714285,1.3271714285714287,0.46287142857142866,0.04314285714285715,0.07597142857142856,0.05457142857142857,0.020314285714285712,0.008142857142857143,0.05081428571428571,0.040628571428571424,0.0077142857142857135,0.005085714285714285,0.0054571428571428575,0.007064285714285715,0.006557142857142859,0.007064285714285715,0.0654,1.4078428571428572,0.09664285714285714,0.029028571428571428,0.22934436649659862,0.04453499316689245,11.6645,2.4030857142857145,0.40037733934052966,0.02557142857142857,0.7583142857142857,1.2236285714285715,4.038839203885679,2.2004999999999995,0.1833428571428571,0.07361428571428572,0.0833142857142857,0.006257142857142857,0.2591,0.013215705952380951,0.07271477465986395,0.22766464710884352,0.3061857142857143,0.018430000000000002,550.0,1770.0
21,299.65107142857136,750.5944177499999,71.95892857142857,90.0,2.4200873562867905e+19,1082.1751399640843,0.0,0.5814208333333333,31.471428571428575,1.0131751158364488e-05,139.89285714285714,0.21578626388888889,0.155818875,0.006457142857142857,0.010714285714285713,5.027028571428572,0.26775714285714286,0.28692857142857137,0.04751428571428572,0.30061428571428567,1.282614285714286,0.6651714285714286,0.04985714285714286,0.08382857142857143,0.06428571428571428,0.025257142857142856,0.009614285714285714,0.046028571428571426,0.05014285714285714,0.009771428571428572,0.008957142857142858,0.007785714285714285,0.010649999999999998,0.009257142857142856,0.010649999999999998,0.07322857142857142,1.506657142857143,0.10434285714285714,0.034942857142857144,0.178650534494808,0.03927727679683736,11.614085714285713,2.6526,0.2930384060994428,0.026299999999999997,0.7340857142857143,1.0379714285714285,3.841367544937765,2.1384714285714286,0.16794285714285714,0.07287142857142857,0.09530000000000001,0.006814285714285713,0.1791964285714286,0.010156018376068375,0.049364714228613306,0.1720210438578851,0.3022142857142857,0.010698333333333332,550.0,1770.0
22,298.5179166666667,750.9913244999999,78.61041666666665,90.0,2.4305584273198277e+19,943.1850262548697,0.005416666666666667,0.5454041666666667,25.766666666666666,6.245985025648169e-06,143.60416666666666,0.1817149579248366,0.131629875,0.0067142857142857134,0.011057142857142857,4.911671428571429,0.7378285714285714,0.6948428571428572,0.06542857142857143,0.3474714285714286,1.308657142857143,0.751,0.0615,0.1199,0.09177142857142857,0.03717142857142858,0.02022857142857143,0.059314285714285715,0.08151428571428572,0.01612857142857143,0.020357142857142855,0.016842857142857142,0.020114285714285713,0.017442857142857142,0.020114285714285713,0.08481428571428572,1.7390714285714286,0.1387428571428571,0.045271428571428574,0.1294353027247537,0.027500198906617375,12.178985714285716,3.3376571428571427,0.2776694825055461,0.026699999999999998,0.6390428571428572,0.6516714285714286,3.382460214339838,2.289814285714286,0.20957142857142855,0.08575714285714287,0.12380000000000001,0.009185714285714285,0.13754166666666667,0.009418966049382716,0.05281061468596059,0.15095182484092776,0.3332857142857143,0.007983500000000001,550.0,1770.0
23,298.01849999999996,751.2525953999999,80.2475,90.0,2.4354785464331215e+19,773.8672494358268,0.0035499999999999998,0.4703416666666666,23.368124999999996,8.942055723826478e-06,144.9714285714286,0.21432693881302523,0.111752,0.006628571428571428,0.010671428571428571,4.143757142857142,0.3313857142857143,0.3455142857142857,0.04895714285714286,0.29352857142857147,1.2822142857142858,0.6900285714285713,0.057685714285714285,0.09585714285714286,0.07442857142857141,0.0319,0.010642857142857145,0.04987142857142857,0.06204285714285714,0.011942857142857142,0.01122857142857143,0.009714285714285715,0.013250000000000001,0.011728571428571427,0.013250000000000001,0.07262857142857142,1.6260999999999999,0.1158,0.03421428571428571,0.1356458491847826,0.028673985437211717,10.128685714285714,2.7127714285714286,0.2758038864209758,0.021685714285714284,0.6832,0.724042857142857,3.455269241372987,2.1470000000000002,0.17708571428571432,0.07544285714285714,0.11285714285714286,0.009600000000000001,0.12110000000000001,0.005198291666666667,0.044731664919772256,0.14548217326604557,0.2886714285714285,0.0048579999999999995,550.0,1770.0
